Jautājums,Atbilde,Svars
Es plānoju samazināt pārtikas atkritumus mājsaimniecībā,Jā,0
Es plānoju samazināt pārtikas atkritumus mājsaimniecībā,Nē,0
Kādā veidā Jūs samaziniet savu atkritumu daudzumu?,Lietoju vairākreiz lietojamus produktus,3
Kādā veidā Jūs samaziniet savu atkritumu daudzumu?,"Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.)",2
Kādā veidā Jūs samaziniet savu atkritumu daudzumu?,"Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus",2
Kādā veidā Jūs samaziniet savu atkritumu daudzumu?,Kompostēju pāri palikušo ēdienu,3
Kādā veidā Jūs samaziniet savu atkritumu daudzumu?,"Neuzskatu, ka tas ir nepieciešams",0
"Ražotu dzērienu vietā (limonādes, ūdens pudelēs, alkoholiskie dzērieni) es dzeršu krāna ūdeni.","Jā, es to jau daru",3
"Ražotu dzērienu vietā (limonādes, ūdens pudelēs, alkoholiskie dzērieni) es dzeršu krāna ūdeni.","Jā, es plānoju tā darīt",0
"Ražotu dzērienu vietā (limonādes, ūdens pudelēs, alkoholiskie dzērieni) es dzeršu krāna ūdeni.","Jā, bet es papildus lietošu ūdens attīrītāju",2
"Ražotu dzērienu vietā (limonādes, ūdens pudelēs, alkoholiskie dzērieni) es dzeršu krāna ūdeni.","Jā, es uzskatu, ka tas palīdz taupīt naudu",1
"Ražotu dzērienu vietā (limonādes, ūdens pudelēs, alkoholiskie dzērieni) es dzeršu krāna ūdeni.","Nē, man nepatīk garša",0
"Ražotu dzērienu vietā (limonādes, ūdens pudelēs, alkoholiskie dzērieni) es dzeršu krāna ūdeni.","Nē, es neuzskatu, ka tas ir droši",0
"Ražotu dzērienu vietā (limonādes, ūdens pudelēs, alkoholiskie dzērieni) es dzeršu krāna ūdeni.","Nē, es negribu to darīt",0
Kāda ir Jūsu uztura izvēle?,Esmu vegāns,3
Kāda ir Jūsu uztura izvēle?,Esmu veģetarietis,2
Kāda ir Jūsu uztura izvēle?,Esmu visēdājs,1
Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?,Samazināt savā uzturā dzīvnieku izcelsmes produktus,0
Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?,Pāriet uz vegānisko uzturu (ja neesat vegāns),0
Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?,Pāriet uz veģetāru uzturu (ja neesat veģetārietis),0
Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?,Ēst vairāk bioloģiskos dārzeņus un augļus,0
Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?,Ēst vairāk sezonālos dārzeņus un augļus,0
Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?,"Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels",0
Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?,Aizstāt lielu dzīvnieku gaļu ar mazāku dzīvnieku gaļu vai zivīm,0
Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?,"Nē, neviens no šiem variantiem nešķiet piemērots",0
Kāda veida transportlīdzekļus Jūs izmantojat?,"Personīgais transportlīdzeklis, ar kuru pats braucu",0
Kāda veida transportlīdzekļus Jūs izmantojat?,"Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.)",1
Kāda veida transportlīdzekļus Jūs izmantojat?,Taksometrs (regulāri),0
Kāda veida transportlīdzekļus Jūs izmantojat?,"Sabiedriskais transports - autobuss, trolejbuss, tramvajs",2
Kāda veida transportlīdzekļus Jūs izmantojat?,Vilciens,2
Kāda veida transportlīdzekļus Jūs izmantojat?,Velosipēds,3
Kāda veida transportlīdzekļus Jūs izmantojat?,Staigāju ar kājām,3
"Ja esat automašīnas īpašnieks, kuru no minētajām iespējām Jūs izvēlētos, lai būtu videi draudzīgāks?",Iegādātos mazāku automašīnu,0
"Ja esat automašīnas īpašnieks, kuru no minētajām iespējām Jūs izvēlētos, lai būtu videi draudzīgāks?",Izmantotu kopbraukšanu (carsharing),0
"Ja esat automašīnas īpašnieks, kuru no minētajām iespējām Jūs izvēlētos, lai būtu videi draudzīgāks?",Parastās automašīnas vietā iegādātos elektromašīnu,0
"Ja esat automašīnas īpašnieks, kuru no minētajām iespējām Jūs izvēlētos, lai būtu videi draudzīgāks?",Biežāk izmantotu sabiedrisko transportu,0
Kurš no sekojošiem apgalvojumiem Jums ir tuvāks?,Es izvēlos darba vietu vai mācību iestādi netālu no savas dzīvesvietas,2
Kurš no sekojošiem apgalvojumiem Jums ir tuvāks?,Es izvēlējos dzīvesvietu netālu no sava darba vai mācību iestādes,2
Kurš no sekojošiem apgalvojumiem Jums ir tuvāks?,"Manā apkārtnē nav darba vietas vai mācību iestādes, tāpēc braucu tālu",0
Kurš no sekojošiem apgalvojumiem Jums ir tuvāks?,Es strādāju attālināti,3
Kurš no sekojošiem apgalvojumiem Jums ir tuvāks?,Man ir savs mājas birojs,1
Kurš no sekojošiem apgalvojumiem Jums ir tuvāks?,"Es strādāju hibrīdi (gan klātienē, gan attālināti)",1
"Kuras no sekojošām darbībām Jūs pārsvarā veicat ar informācijas un komunikācijas tehnoloģiju (IKT) ierīcēm (telefona, datora, televizora u.c.) un to lietošanu?","Es pērku ierīces ar nelielu defektu vai bojājumu, salaboju to un lietoju",2
"Kuras no sekojošām darbībām Jūs pārsvarā veicat ar informācijas un komunikācijas tehnoloģiju (IKT) ierīcēm (telefona, datora, televizora u.c.) un to lietošanu?","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam",2
"Kuras no sekojošām darbībām Jūs pārsvarā veicat ar informācijas un komunikācijas tehnoloģiju (IKT) ierīcēm (telefona, datora, televizora u.c.) un to lietošanu?",Es iegādājos ierīces tikai ar ekoloģisko sertifikātu,3
"Kuras no sekojošām darbībām Jūs pārsvarā veicat ar informācijas un komunikācijas tehnoloģiju (IKT) ierīcēm (telefona, datora, televizora u.c.) un to lietošanu?",Es vienkārši izmetu savu veco ierīci,0
"Kuras no sekojošām darbībām Jūs pārsvarā veicat ar informācijas un komunikācijas tehnoloģiju (IKT) ierīcēm (telefona, datora, televizora u.c.) un to lietošanu?","Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā",1
"Kādas darbības Jūs mēģinat veikt, lai samazinātu enerģijas patēriņu?",Es samazinu savas istabas temperatūru,2
"Kādas darbības Jūs mēģinat veikt, lai samazinātu enerģijas patēriņu?",Es samazinu izmantotā karstā ūdens daudzumu,2
"Kādas darbības Jūs mēģinat veikt, lai samazinātu enerģijas patēriņu?",Es izmantoju energoefektīvu apgaismojumu (LED),2
"Kādas darbības Jūs mēģinat veikt, lai samazinātu enerģijas patēriņu?","Es nomainīju visas energoietilpīgas ierīces ar energoefektīvām (A+, A un B klašu tehniku)",3
"Kādas darbības Jūs mēģinat veikt, lai samazinātu enerģijas patēriņu?",Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā,3
"Kādas darbības Jūs mēģinat veikt, lai samazinātu enerģijas patēriņu?","Es kopā ar kaimiņiem kopā lietoju vienu ierīci (piemēram, kopīga veļasmazgāšanas mašīna)",3
"Kādas darbības Jūs mēģinat veikt, lai samazinātu enerģijas patēriņu?","Es atslēdzu daudzas ierīces no rozetēm, pirms dodos prom no mājām",2
"Kādas darbības Jūs mēģinat veikt, lai samazinātu enerģijas patēriņu?",Es nedaru neko no minētā,0
Kādā mājokļa tipā Jūs dzīvojat?,Privātmājā,0
Kādā mājokļa tipā Jūs dzīvojat?,Dzīvoklī,1
Kādā mājokļa tipā Jūs dzīvojat?,Kojās,2
Vai Jūs atteiktos no liekas mājokļa platības?,Jā,0
Vai Jūs atteiktos no liekas mājokļa platības?,Nē,0
Vai Jūs būtu ar mieru dzīvot koplietojamā mājoklī?,Jā,0
Vai Jūs būtu ar mieru dzīvot koplietojamā mājoklī?,Nē,0
Vai Jūs būtu ar mieru dzīvot koplietojamā mājoklī?,Jau dzīvoju,0
Vai Jūsu dzīvesvieta ir papildus nosiltināta?,Jā,0
Vai Jūsu dzīvesvieta ir papildus nosiltināta?,Nē,1
Kurš no apgalvojumiem atbilst Jūsu dzīves situācijai?,Es nomainīju apkures sistēmu uz siltumsūkni,2
Kurš no apgalvojumiem atbilst Jūsu dzīves situācijai?,Es nomainīju apkures sistēmu uz biomasas apkures katlu,3
Kurš no apgalvojumiem atbilst Jūsu dzīves situācijai?,Es uzstādīju saules paneļus,3
Kurš no apgalvojumiem atbilst Jūsu dzīves situācijai?,Es kurinu ar ogli un/vai kokogli,0
Kurš no apgalvojumiem atbilst Jūsu dzīves situācijai?,Es apsildu māju ar elektroenerģiju,1
Kurš no apgalvojumiem atbilst Jūsu dzīves situācijai?,Es apsildu māju ar dabasgāzi,1
Kurš no apgalvojumiem atbilst Jūsu dzīves situācijai?,"Es nezinu, ar ko tiek apsildīta mana māja",0
Kurš no šiem apgalvojumiem ir patiess par Jūsu mājdzīvniekiem?,Pērku lētāko,1
Kurš no šiem apgalvojumiem ir patiess par Jūsu mājdzīvniekiem?,"Es pērku vienu lielu maisu ar barību vai izmantoju beziepakojuma pakalpojumus, nevis pērku vairākas mazas paciņas",2
Kurš no šiem apgalvojumiem ir patiess par Jūsu mājdzīvniekiem?,"Es iegādājos to barību, kurai ir vismazāk CO2 pēdu",3
Kurš no šiem apgalvojumiem ir patiess par Jūsu mājdzīvniekiem?,Es izmantoju tikai videi draudzīgu tualetes pildījumu,3
Kurš no šiem apgalvojumiem ir patiess par Jūsu mājdzīvniekiem?,"Es taisu mantiņas pats no vecām lietām, dodot tām otro dzīvību",3
Kurš no šiem apgalvojumiem ir patiess par Jūsu mājdzīvniekiem?,Man nav mājdzīvnieku,0
Kurš no apgalvojumiem par pārvietošanos brīvdienās un atvaļinājumos Jums ir patiess?,Es dodos atvaļinājumā ar automašīnu nevis lidmašīnu,1
Kurš no apgalvojumiem par pārvietošanos brīvdienās un atvaļinājumos Jums ir patiess?,Nedēļas nogalēs mazāk lietoju personīgo transportlīdzekli nekā darba dienās,1
Kurš no apgalvojumiem par pārvietošanos brīvdienās un atvaļinājumos Jums ir patiess?,Nedēļas nogalēs ļoti maz ceļoju ar lidmašīnu,2
Kurš no apgalvojumiem par pārvietošanos brīvdienās un atvaļinājumos Jums ir patiess?,Es dodos ceļojumā uz tuvējām pilsētām nevis uz ārzemēm,2
Kurš no šiem apgalvojumiem par apģērbu un apavu iegādi attiecas uz Jums?,"Es pērku jaunas drēbes katru sezonu vai tad, kad iznāk jauna kolekcija",0
Kurš no šiem apgalvojumiem par apģērbu un apavu iegādi attiecas uz Jums?,"Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas",2
Kurš no šiem apgalvojumiem par apģērbu un apavu iegādi attiecas uz Jums?,"Es pērku jaunas drēbes lietotu preču veikalā, atkārtoti izmantoju apģērbu, ja tie ir labā stāvoklī",2
Kurš no šiem apgalvojumiem par apģērbu un apavu iegādi attiecas uz Jums?,"Pērku nedaudz deformētas vai bojātas lietas, salaboju un nēsāju",3
Kurš no šiem apgalvojumiem par apģērbu un apavu iegādi attiecas uz Jums?,Nēsāju vienu un to pašu apģērbu jau vairākus gadus un neplānoju tuvakajā nākotnē to mainīt,3
Kurš no šiem apgalvojumiem par apģērbu un apavu iegādi attiecas uz Jums?,"Es periodiski iegādājos jaunu apģērbu, ja man tas patīk",0
Kurš no šiem apgalvojumiem par apģērbu un apavu iegādi attiecas uz Jums?,"Es nepērku drēbes, man tās dod bez maksas",1
Kurš no apgalvojumiem par Jums ir patiess?,Es veicu ieguldījumus ekoloģiskās un ētiskās zaļajās finansēs,3
Kurš no apgalvojumiem par Jums ir patiess?,Es samazinu savu darba laiku un patēriņu precēm,1
Kurš no apgalvojumiem par Jums ir patiess?,"Nepērkot preces, es tērēju vairāk naudas nesaistītām aktivitātēm",0
Kurš no apgalvojumiem par Jums ir patiess?,Es ziedoju naudu vides aizsardzībai vai vides organizācijai,3
Kurš no apgalvojumiem par Jums ir patiess?,"Es pērku preces ar īpašu akciju, kur daļa no preces cenas aiziet ziedojumam videi",1
Kurš no apgalvojumiem par Jums ir patiess?,"Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus",0
Kāds ir Jūsu dzimums?,Vīrietis,0
Kāds ir Jūsu dzimums?,Sieviete,0
Kāds ir Jūsu dzimums?,Nevēlos izpaust,0
Kāds ir Jūsu vecums?,0-20 gadi,0
Kāds ir Jūsu vecums?,21-30 gadi,0
Kāds ir Jūsu vecums?,31-40 gadi,0
Kāds ir Jūsu vecums?,41-50 gadi,0
Kāds ir Jūsu vecums?,51-60 gadi,0
Kāds ir Jūsu vecums?,61-70 gadi,0
Kāds ir Jūsu vecums?,vairāk par 70 gadiem,0
Kāds ir Jūsu vecums?,Nevēlos izpaust,0
Kāds ir augstākais Jūsu iegūtais izglītības līmenis?,Nav izglītības vai pirmsskola,0
Kāds ir augstākais Jūsu iegūtais izglītības līmenis?,Pamatskola,0
Kāds ir augstākais Jūsu iegūtais izglītības līmenis?,Vidusskola,0
Kāds ir augstākais Jūsu iegūtais izglītības līmenis?,Profesionālā izglītība,0
Kāds ir augstākais Jūsu iegūtais izglītības līmenis?,"Augtākā izglītība, bakalaurs",0
Kāds ir augstākais Jūsu iegūtais izglītības līmenis?,"Augtākā izglītība, maģistrs",0
Kāds ir augstākais Jūsu iegūtais izglītības līmenis?,"Augtākā izglītība, doktors",0
Kurš no šiem variantiem atspoguļo Jūsu mājsaimniecības ikmēneša neto ienākumus?,Mazāk par 600 EUR,0
Kurš no šiem variantiem atspoguļo Jūsu mājsaimniecības ikmēneša neto ienākumus?,No 601 EUR līdz 1500 EUR,0
Kurš no šiem variantiem atspoguļo Jūsu mājsaimniecības ikmēneša neto ienākumus?,No 1 501 EUR līdz 3 000 EUR,0
Kurš no šiem variantiem atspoguļo Jūsu mājsaimniecības ikmēneša neto ienākumus?,No 3 001 EUR līdz 4 500 EUR,0
Kurš no šiem variantiem atspoguļo Jūsu mājsaimniecības ikmēneša neto ienākumus?,No 4 501 EUR līdz 6 000 EUR,0
Kurš no šiem variantiem atspoguļo Jūsu mājsaimniecības ikmēneša neto ienākumus?,Vairāk nekā 6001 EUR,0
Kurš no šiem variantiem atspoguļo Jūsu mājsaimniecības ikmēneša neto ienākumus?,Nevēlos izpaust,0
Kāds ir Jūsu pašreizējais nodarbinātības statuss?,Darbinieks: Pilna slodze,0
Kāds ir Jūsu pašreizējais nodarbinātības statuss?,Darbinieks: Daļslodze,0
Kāds ir Jūsu pašreizējais nodarbinātības statuss?,Pašnodarbināts,0
Kāds ir Jūsu pašreizējais nodarbinātības statuss?,Students: Pilna laika studijas,0
Kāds ir Jūsu pašreizējais nodarbinātības statuss?,Mājsaimniecības vadīšana,0
Kāds ir Jūsu pašreizējais nodarbinātības statuss?,Atbrīvots no darba,0
Kāds ir Jūsu pašreizējais nodarbinātības statuss?,Bezdarbnieks,0
Kāds ir Jūsu pašreizējais nodarbinātības statuss?,Esmu pensijā,0
Kāda ir Jūsu dzīvesvieta?,Pilsēta,0
Kāda ir Jūsu dzīvesvieta?,Piepilsēta,0
Kāda ir Jūsu dzīvesvieta?,Lauki,0
Kāda ir Jūsu dzīvesvieta?,Nevēlos izpaust,0
